Composition,Reference,Tg_[K],Tx_[K],Tl_[K],Dmax_[mm],Zmax_[mm],E_[GPA],Tm_[K],Sigma_[Mpa],Possion_Ratio,Fracture_Strength_[MPa],Rc_[K/s],G_[GPa],Is_Amorphous,Casting,Type,Size_Measure,Size1,Size2,Environment,Characterization,Melting,density_[g/cm^3],Acoustic_Velocity_Long_[km/s],Acoustic_Velocity_Trans_[km/s],K_[GPa],E/density_[GPacm^3/g],Debye_Temp_[K],Yield_Strength_[Gpa],Kc_[Mpa m^05],Gbas_[Gpa],Kbas_[Gpa],Vbas
Ag0.09 Al8.69 Cu39.07 Zr52.15,10.1007/s10853-009-3523-7,671.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag0.3 B4 Cu1.5 P18 Pt74.7 Si1.5,10.1016/j.pmatsci.2011.07.001,,,,,,,,,,,,32.4,,,,,,,,,,17.23,,,216.7,0.43,,,,,,
Ag1 Al19.8 Co19.8 Cu4.95 Zr54.45,10.1016/j.jallcom.2011.01.078,739.0,813.0,1275.0,10.0,,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag1 Al7 Cu49 Zr43,10.1007/BF03027421,729.0,795.0,1170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag1 Al9.9 Cu22.77 Fe4.95 Zr61.38,10.1016/j.jallcom.2009.08.030,656.0,753.0,1175.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag1 Cu5 P5 Pd79 Si10,10.1016/j.jnoncrysol.2006.09.025,614.0,684.0,1001.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag1 Gd10 Mg74 Ni15,10.1016/j.intermet.2010.11.029,442.0,483.0,791.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag1.8 Al14 Co5 Cu9.2 La65 Ni5,10.1038/ncomms10313,419.0,,687.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag10 Al10 Cu40 Zr40,10.1016/j.mseb.2007.09.064,710.0,765.0,1273.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag10 Al15 Cu20 La55,10.1016/j.mseb.2007.09.002,,,787.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
