composition,dmax
Ag1 Al19.8 Co19.8 Cu4.95 Zr54.45,10.0
Ag1 Al9.9 Cu22.77 Fe4.95 Zr61.38,4.0
Ag1 Cu5 P5 Pd79 Si10,4.0
Ag1 Gd10 Mg74 Ni15,3.0
Ag1.8 Al14 Co5 Cu9.2 La65 Ni5,30.0
Ag10 Al10 Cu40 Zr40,3.0
Ag10 Al15 Cu20 La55,2.0
Ag10 Al30 Ca60,2.0
Ag10 Al7 Cu40 Zr43,20.0
Ag10 Ca60 Cu10 Mg20,7.0
Ag10 Cu15 Er10 Mg65,6.0
Ag10 Cu15 Gd10 Mg65,7.5
Ag10 Cu15 Gd6 Mg65 Y4,8.0
Ag10 Cu15 Gd8 Mg65 Y2,9.0
Ag10 Cu15 Mg65 Tb10,6.0
Ag10 Cu40 Zr50,5.0
Ag10 Cu45 Hf10 Zr35,4.0
Ag10 Cu45 Hf20 Zr25,3.0
Ag10 Cu45 Hf30 Zr15,2.0
Ag10 Cu45 Ni5 Ti10 Zr30,5.0
Ag10 Cu45 Zr45,6.0
Ag10 Cu49 Ti5 Zr36,8.0
Ag10 Cu50 Ti10 Zr30,4.0
Ag10 Cu54 Zr36,6.0
Ag10.5 Cu24.5 Mg54 Y11,12.0
Ag11.6 Cu46.4 Ti7 Zr35,6.0
Ag12 Cu38 Zr50,4.0
Ag12 Cu44 Zr44,4.0
Ag13 Al3 Cu36 Zr48,4.5
Ag15 Cu10 Gd10 Mg65,3.0
Ag15 Cu45 Ti10 Zr30,5.0
Ag16 Cu42 Zr42,2.0
Ag2 Al14 Co6 Cu10 La62 Ni6,16.0
Ag2 Al14 Cu22 La62,5.0
Ag2 Al6 Cu48 Zr44,12.0
Ag2 Al7 Cu43 Zr48,12.0
Ag2 Cu4 P5 Pd79 Si10,5.0
Ag2 Cu48 Zr50,2.0
Ag2 Gd10 Mg73 Ni15,3.5
Ag2.3 Al14 Co5 Cu11.7 La62 Ni5,20.0
Ag2.33 Al14 Co5 Cu11.67 La62 Ni5,20.0
Ag2.5 Cu22.5 Mg65 Tb10,7.0
Ag2.67 Al14 Co4 Cu13.33 La62 Ni4,16.0
Ag2.7 Al14 Co4 Cu13.3 La62 Ni4,16.0
Ag20 Ca60 Mg20,4.0
Ag20 Cu40 Ti10 Zr30,3.0
Ag20 Cu5 Gd10 Mg65,0.5
Ag25 Cu35 Ti10 Zr30,2.0
Ag3 Al19.4 Co19.4 Cu4.85 Zr53.35,16.0
Ag3 Al5 Cu47 Zr45,15.0
Ag3 Al7 Cu42 Zr48,10.0
Ag3 Al7 Cu45 Zr45,8.0
Ag3 Al7 Cu47 Zr43,5.0
Ag3 Al9.7 Cu22.31 Fe4.85 Zr60.14,10.0
Ag3 Cu3 P5 Pd79 Si10,5.0
Ag3.3 Al14 Co2 Cu16.7 La62 Ni2,16.0
Ag3.3 Cu29.7 Mg56 Y11,14.0
Ag3.33 Al14 Co2 Cu16.67 La62 Ni2,16.0
Ag30.77 Ca30.77 Cu15.38 Mg23.08,3.0
Ag30.77 Ca30.77 Cu7.69 Mg30.77,3.0
Ag38.4 Ca23.2 Mg38.4,1.5
Ag38.46 Ca23.08 Cu7.69 Mg30.77,4.0
Ag38.5 Ca30.8 Cu7.7 Mg23,3.0
Ag4 Al14 Cu20 La62,8.0
Ag4 Al4 Cu47 Zr45,10.0
Ag4 Al4 Cu48 Zr44,10.0
Ag4 Al4 Cu49 Zr43,10.0
Ag4 Al6 Cu48 Zr42,12.0
Ag4 Cu2 P5 Pd79 Si10,7.0
Ag4 Cu48 Zr48,3.0
Ag4 Gd10 Mg71 Ni15,4.0
Ag4.6 Al7 Cu41.4 Zr47,20.0
Ag46.15 Ca22.98 Cu7.69 Mg23.18,3.0
Ag46.2 Ca30.7 Mg23.1,1.0
Ag46.29 Ca30.56 Cu7.72 Mg15.43,1.0
Ag46.43 Ca28.6 Cu7.15 Mg17.83,1.5
Ag5 Al10 Cu20 La65,5.0
Ag5 Al12.5 Co2.5 Cu17.5 La62.5,8.0
Ag5 Al12.5 Co5 Cu10 La62.5 Ni5,12.0
Ag5 Al12.5 Co5 Cu15 La62.5,9.0
Ag5 Al12.5 Cu15 Fe5 La62.5,6.0
Ag5 Al12.5 Cu15 La62.5 Ni5,8.0
Ag5 Al12.5 Cu17.5 Fe2.5 La62.5,7.0
Ag5 Al12.5 Cu20 La62.5,6.0
Ag5 Al14 Cu19 La62,5.0
Ag5 Al15 Cu20 La60,5.0
Ag5 Al19 Co19 Cu4.75 Zr52.25,16.0
Ag5 Al20 Cu20 La55,4.0
Ag5 Al25 Cu15 La55,3.0
Ag5 Al27.5 Ca57.5 Mg10,2.0
Ag5 Al28.5 Ca56.5 Mg10,3.0
Ag5 Al29.5 Ca55.5 Mg10,2.0
Ag5 Al32 Ca63,1.5
Ag5 Al5 Cu45 Zr45,9.0
Ag5 Al7 Cu40 Zr48,10.0
Ag5 Al9.5 Cu21.85 Fe4.75 Zr58.9,5.0
Ag5 Au46 Cu29 Si20,1.0
Ag5 Cu15 Gd10 Mg65 Pd5,10.0
Ag5 Cu20 Gd10 Mg65,11.0
Ag5 Cu20 Mg65 Tb10,10.0
Ag5 Cu45 Zr50,4.0
Ag5 Cu55 Ti10 Zr30,3.0
Ag5 Cu7.5 Gd10 Mg65 Ni7.5 Zn5,11.0
Ag5 Cu7.5 Gd2.5 Mg65 Ni7.5 Y7.5 Zn5,9.5
Ag5 Cu7.5 Gd5 Mg65 Ni7.5 Y5 Zn5,14.0
Ag5 Cu7.5 Gd7.5 Mg65 Ni7.5 Y2.5 Zn5,13.0
Ag5 Cu7.5 Mg65 Ni7.5 Y10 Zn5,9.0
Ag5 Gd10 Mg70 Ni15,5.0
Ag5.5 Au49 Cu26.9 Pd2.3 Si16.3,5.0
Ag50 Ca30.8 Cu7.7 Mg11.5,1.5
Ag53.8 Ca23.1 Mg23.1,1.0
Ag53.8 Ca30.8 Mg15.4,1.0
Ag6 Al14 Cu18 La62,5.0
Ag6 Al6 Cu44 Zr44,10.0
Ag6 Be23 Cu9 Ni10 Ti24 Zr28,14.0
Ag6 Be26 Cu10 Ti27 Zr31,14.0
Ag6 Cu54 Ti7 Zr33,6.0
Ag6 Gd10 Mg69 Ni15,7.0
Ag6.6 Cu23 Gd11 Mg59.4,34.0
Ag61.5 Ca23.1 Mg15.4,1.0
Ag7 Al14 Cu17 La62,5.0
Ag7 Al18.6 Co18.6 Cu4.65 Zr51.15,14.0
Ag7 Al3 Cu45 Zr45,7.0
Ag7 Al7 Cu43 Zr43,8.0
Ag7 Al9.3 Cu21.39 Fe4.65 Zr57.66,4.0
Ag7 Cu28 Mg54 Y11,16.0
Ag7 Cu43 In7 Zr43,5.0
Ag7 Cu43 Ti10 Zr40,7.0
Ag7 Cu43 Ti7 Zr43,5.0
Ag7 Cu43 Zr50,4.0
Ag7 Cu57 Zr36,4.0
Ag7 Gd10 Mg68 Ni15,4.0
Ag7.5 Al17.5 Cu20 La55,3.0
Ag7.5 Cu17.5 Mg65 Tb10,8.0
Ag7.6 Al9 Cu30.4 Zr53,20.0
Ag8 Al14 Cu16 La62,5.0
Ag8 Al7 Cu37 Zr48,10.0
Ag8 Al8 Au2 Cu36 Zr46,20.0
Ag8 Al8 Au4 Cu36 Zr44,20.0
Ag8 Al8 Au6 Cu36 Zr42,15.0
Ag8 Al8 Cu34 Pd2 Zr48,30.0
Ag8 Al8 Cu34 Zr50,15.0
Ag8 Al8 Cu36 Fe2 Zr46,10.0
Ag8 Al8 Cu36 Fe4 Zr44,9.0
Ag8 Al8 Cu36 Fe6 Zr42,4.0
Ag8 Al8 Cu36 Hf2 Zr46,20.0
Ag8 Al8 Cu36 Hf4 Zr44,20.0
Ag8 Al8 Cu36 Nb2 Zr46,10.0
Ag8 Al8 Cu36 Nb4 Zr44,9.0
Ag8 Al8 Cu36 Ni2 Zr46,25.0
Ag8 Al8 Cu36 Ni4 Zr44,30.0
Ag8 Al8 Cu36 Ni6 Zr42,25.0
Ag8 Al8 Cu36 Pd2 Zr46,30.0
Ag8 Al8 Cu36 Pd4 Zr44,25.0
Ag8 Al8 Cu36 Pd6 Zr42,20.0
Ag8 Al8 Cu36 Ti2 Zr46,10.0
